"","ensembl_gene_id","ensembl_gene_id_version.x","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id_version.y","external_gene_name","gene_biotype"
"3574","ENSG00000131370","ENSG00000131370.15",1527.83968112445,-2.77777536651277,0.10847528608288,-25.6074490957361,1.26028127869872e-144,3.07592650754402e-142,"ENSG00000131370.16","SH3BP5","protein_coding"
"3575","ENSG00000131373","ENSG00000131373.14",364.606023234361,-0.753971035948653,0.101542618067777,-7.4251683706382,1.12636540602727e-13,7.83214387742796e-13,"ENSG00000131373.15","HACL1","protein_coding"
"3576","ENSG00000131374","ENSG00000131374.14",2552.74946958914,0.519943661225626,0.0703517965128398,7.39062379353357,1.46141565848491e-13,1.00979730589115e-12,"ENSG00000131374.14","TBC1D5","protein_coding"
"3577","ENSG00000131375","ENSG00000131375.9",839.906606095285,-0.447208005553346,0.08011911839617,-5.58178889765123,2.38057218588294e-08,1.08601554797725e-07,"ENSG00000131375.10","CAPN7","protein_coding"
"3578","ENSG00000131379","ENSG00000131379.9",5.44694365118728,2.53700617490021,0.852423740553405,2.97622655752543,0.00291819191320736,0.00739683862976145,"ENSG00000131379.10","C3orf20","protein_coding"
"3579","ENSG00000131381","ENSG00000131381.12",542.205215233797,-0.701244651616898,0.105520786742272,-6.64555935627781,3.02067697847478e-11,1.77317451921905e-10,"ENSG00000131381.12","RBSN","protein_coding"
"3580","ENSG00000131398","ENSG00000131398.13",49.3094916855092,4.79608515290297,0.543993544491902,8.81643762405781,1.18158978419303e-18,1.12602174401666e-17,"ENSG00000131398.15","KCNC3","protein_coding"
"3581","ENSG00000131408","ENSG00000131408.13",386.648533494461,0.665193628939504,0.12551255936391,5.29981726379149,1.1591864100977e-07,4.95672351259609e-07,"ENSG00000131408.15","NR1H2","protein_coding"
"3582","ENSG00000131409","ENSG00000131409.12",5.16087600910131,3.35145408439249,1.32065266973572,2.53772559674085,0.0111575430204455,0.0252953442034376,"ENSG00000131409.13","LRRC4B","protein_coding"
"3583","ENSG00000131437","ENSG00000131437.15",773.766844772586,-0.706050976873271,0.121262325179946,-5.82250897651465,5.79706851175108e-09,2.81410844042263e-08,"ENSG00000131437.16","KIF3A","protein_coding"
