"","ensembl_gene_id","ensembl_gene_id_version.x","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id_version.y","external_gene_name","gene_biotype"
"8895","ENSG00000226057","ENSG00000226057.6",48.1203027222294,8.86871410902564,1.19643029558353,7.41264588648697,1.23804144703777e-13,9.06024940629679e-13,"ENSG00000226057.7","PHF2P2","transcribed_unprocessed_pseudogene"
"8896","ENSG00000226137","ENSG00000226137.5",553.46850051174,0.431891019769928,0.0885545673577155,4.87711738261119,1.07647381746426e-06,4.44939846349597e-06,"ENSG00000226137.5","BAIAP2-DT","lncRNA"
"8897","ENSG00000226210","ENSG00000226210.3",244.634901230136,0.533508648459453,0.12676828232102,4.20853417504255,2.57032658869902e-05,9.10431352706725e-05,"ENSG00000226210.3","WASH8P","unprocessed_pseudogene"
"8898","ENSG00000226363","ENSG00000226363.3",78.5726278368549,-1.18849387538494,0.210132089051594,-5.65593708580668,1.54998240902889e-08,7.61379267206557e-08,"ENSG00000226363.3","HAGLROS","lncRNA"
"8899","ENSG00000226416","ENSG00000226416.1",5.76570125643929,-2.64039954351649,0.860203135512585,-3.06950699725491,0.00214412382979212,0.00576897325342425,"ENSG00000226416.1","MRPL23-AS1","lncRNA"
"8900","ENSG00000226453","ENSG00000226453.1",25.5493869607209,-1.52075229553791,0.367350616306787,-4.13978424979115,3.47632611205089e-05,0.000121111067146286,"ENSG00000226453.2","LINC02542","lncRNA"
"8901","ENSG00000226465","ENSG00000226465.1",51.814194359006,-0.84104823358832,0.251765251591328,-3.34060490187713,0.000835960932930429,0.00240970636914375,"ENSG00000226465.3","","lncRNA"
"8902","ENSG00000226471","ENSG00000226471.6",118.175508033581,-0.600902077933218,0.168085408694884,-3.57498061609858,0.000350253845014786,0.00106681503594461,"ENSG00000226471.6","","lncRNA"
"8903","ENSG00000226476","ENSG00000226476.3",46.6174125539481,-3.15547250549526,0.336116507381674,-9.38803193593848,6.11317969514573e-21,6.96477002934157e-20,"ENSG00000226476.6","LINC01748","lncRNA"
"8904","ENSG00000226510","ENSG00000226510.1",9.40096501878146,-5.88961270522105,1.2522096104468,-4.70337606107301,2.55894458225656e-06,1.01365167776149e-05,"ENSG00000226510.1","UPK1A-AS1","lncRNA"
"8905","ENSG00000226549","ENSG00000226549.3",4.81881554970727,-2.34948698237654,0.921586279346422,-2.54939448973001,0.0107910158353299,0.0254211211138745,"ENSG00000226549.3","SCDP1","processed_pseudogene"
"8906","ENSG00000226652","ENSG00000226652.3",1.49147537518009,-4.20311936321316,1.68334086132805,-2.49689142571942,0.0125287310724582,0.0291203394377808,"ENSG00000226652.3","PSMD10P2","transcribed_processed_pseudogene"
"8907","ENSG00000226711","ENSG00000226711.6",31.3652045934516,1.37255378620962,0.336996725369716,4.07289947611153,4.64314677547673e-05,0.000159340181469357,"ENSG00000226711.7","FAM66C","lncRNA"
"8908","ENSG00000226742","ENSG00000226742.3",314.873967296982,-0.418883087019402,0.110724819158328,-3.78310021369673,0.000154887016370373,0.000494989198742066,"ENSG00000226742.4","HSBP1L1","protein_coding"
